name,owner,createdAt,updatedAt,primaryLanguage,mergedPRs,releases,openIssues,closedIssues,stars
godot,godotengine,2014-01-04T16:05:36Z,2025-08-11T19:49:47Z,C++,38636,61,12042,45917,99795
terminal,microsoft,2017-08-11T18:38:22Z,2025-08-11T19:56:55Z,C++,4176,136,1603,11847,99159
DeepSeek-V3,deepseek-ai,2024-12-26T09:52:40Z,2025-08-11T18:14:31Z,Python,21,1,28,554,98588
langflow,langflow-ai,2023-02-08T22:28:03Z,2025-08-11T20:05:18Z,Python,4571,261,436,2225,98491
angular,angular,2014-09-18T16:12:01Z,2025-08-11T19:26:39Z,TypeScript,3869,465,1462,27978,98452
frp,fatedier,2015-12-21T15:24:59Z,2025-08-11T19:46:35Z,Go,682,106,57,3831,97212
papers-we-love,papers-we-love,2013-12-15T14:31:41Z,2025-08-11T20:05:17Z,Shell,437,0,1,245,96877
material-ui,mui,2014-08-18T19:11:54Z,2025-08-11T17:44:55Z,TypeScript,20745,547,1614,18541,96346
iptv,iptv-org,2018-11-14T22:00:57Z,2025-08-11T20:03:37Z,TypeScript,6663,0,432,14178,96137
Awesome-Hacking,Hack-with-Github,2016-03-30T15:47:10Z,2025-08-11T19:54:49Z,None,34,0,0,0,96103
ant-design,ant-design,2015-04-24T15:37:24Z,2025-08-11T17:20:50Z,TypeScript,15734,713,1228,30360,95616
rustdesk,rustdesk,2020-09-28T15:36:08Z,2025-08-11T19:53:31Z,Rust,3616,31,56,3543,95478
tauri,tauri-apps,2019-07-13T09:09:37Z,2025-08-11T19:42:48Z,Rust,5140,1000,1120,4622,95430
generative-ai-for-beginners,microsoft,2023-06-19T16:28:59Z,2025-08-11T20:01:27Z,Jupyter Notebook,376,0,11,165,94574
thefuck,nvbn,2015-04-08T15:08:04Z,2025-08-11T18:18:57Z,Python,481,17,287,472,93401
clean-code-javascript,ryanmcdermott,2016-11-25T22:25:41Z,2025-08-11T18:15:51Z,JavaScript,149,0,72,163,93335
ui,shadcn-ui,2023-01-04T12:43:27Z,2025-08-11T18:59:49Z,TypeScript,634,52,962,2363,92741
java-design-patterns,iluwatar,2014-08-09T16:45:18Z,2025-08-11T16:38:48Z,Java,1507,0,129,830,92460
pytorch,pytorch,2016-08-13T05:26:41Z,2025-08-11T20:03:39Z,Python,6190,61,15408,37603,92285
HowToCook,Anduin2017,2020-02-29T10:43:49Z,2025-08-11T19:14:43Z,Dockerfile,586,4,434,346,92187
neovim,neovim,2014-01-31T13:39:22Z,2025-08-11T18:36:47Z,Vim Script,16062,45,1656,11431,91871
puppeteer,puppeteer,2017-05-09T22:16:13Z,2025-08-11T14:55:44Z,TypeScript,5405,555,262,6945,91704
Web-Dev-For-Beginners,microsoft,2020-11-10T02:44:00Z,2025-08-11T20:01:09Z,JavaScript,514,0,88,242,91186
DeepSeek-R1,deepseek-ai,2025-01-20T11:57:28Z,2025-08-11T18:59:02Z,None,9,1,58,568,90843
vue-element-admin,PanJiaChen,2017-04-17T03:35:49Z,2025-08-11T18:44:34Z,Vue,311,49,1252,2357,89754
tailwindcss,tailwindlabs,2017-10-06T14:59:14Z,2025-08-11T18:20:55Z,TypeScript,3060,289,80,4447,89529
fastapi,fastapi,2018-12-08T08:21:47Z,2025-08-11T19:54:48Z,Python,2732,208,49,3417,88249
every-programmer-should-know,mtdvio,2017-08-24T13:18:26Z,2025-08-11T15:39:24Z,None,99,0,29,23,87766
storybook,storybookjs,2016-03-18T04:23:44Z,2025-08-11T18:32:35Z,TypeScript,11466,1000,2050,11605,87484
supabase,supabase,2019-10-12T05:56:49Z,2025-08-11T19:54:44Z,TypeScript,12825,22,246,4385,86916
whisper,openai,2022-09-16T20:02:54Z,2025-08-11T19:58:59Z,Python,119,13,0,0,86430
nvm,nvm-sh,2010-04-15T17:47:47Z,2025-08-11T17:25:09Z,Shell,729,70,319,1993,86297
awesome-mac,jaywcjlove,2016-07-17T15:33:47Z,2025-08-11T19:26:14Z,JavaScript,986,12,113,365,85831
NextChat,ChatGPTNextWeb,2023-03-10T18:27:54Z,2025-08-11T19:53:43Z,TypeScript,889,77,660,2884,85399
ComfyUI,comfyanonymous,2023-01-17T03:15:56Z,2025-08-11T20:00:43Z,Python,1141,71,2472,3592,85162
bitcoin,bitcoin,2010-12-19T15:16:43Z,2025-08-11T19:56:28Z,C++,15481,56,408,8265,84990
app-ideas,florinpop17,2019-02-25T18:36:56Z,2025-08-11T14:39:04Z,None,149,0,126,44,84838
v2rayN,2dust,2019-07-30T03:47:24Z,2025-08-11T18:24:42Z,C#,256,261,15,5967,84742
llama.cpp,ggml-org,2023-03-10T18:58:00Z,2025-08-11T20:02:29Z,C++,5412,1000,315,5315,84579
django,django,2012-04-28T02:47:18Z,2025-08-11T19:39:11Z,Python,9833,0,0,0,84547
svelte,sveltejs,2016-11-20T18:13:05Z,2025-08-11T19:22:25Z,JavaScript,5978,509,808,7666,83709
gin,gin-gonic,2014-06-16T23:57:25Z,2025-08-11T17:36:01Z,Go,1114,27,666,1680,83528
opencv,opencv,2012-07-19T09:40:17Z,2025-08-11T18:17:54Z,C++,13053,66,2608,8618,83468
hugo,gohugoio,2013-07-04T15:26:26Z,2025-08-11T19:20:06Z,Go,2941,337,439,7353,82791
realworld,gothinkster,2016-02-26T20:49:53Z,2025-08-11T19:52:56Z,TypeScript,433,0,39,503,82184
animate.css,animate-css,2011-10-12T10:07:38Z,2025-08-11T14:26:12Z,CSS,315,22,39,841,82028
mermaid,mermaid-js,2014-11-01T23:52:32Z,2025-08-11T19:28:19Z,TypeScript,2424,157,1267,2093,82012
laravel,laravel,2011-06-08T03:06:08Z,2025-08-11T19:37:43Z,Blade,1637,197,0,0,81766
mall,macrozheng,2018-04-04T01:11:44Z,2025-08-11T15:26:58Z,Java,1,3,10,487,81244
core,home-assistant,2013-09-17T07:29:48Z,2025-08-11T20:05:54Z,Python,75523,1000,2390,59830,80677
FiraCode,tonsky,2014-11-11T19:32:38Z,2025-08-11T17:46:47Z,Clojure,137,29,409,954,79842
bun,oven-sh,2021-04-14T00:48:17Z,2025-08-11T18:42:05Z,Zig,5893,196,4742,8229,79623
manim,3b1b,2015-03-22T18:50:58Z,2025-08-11T18:30:17Z,Python,642,13,450,761,79444
advanced-java,doocs,2018-10-06T11:38:30Z,2025-08-11T16:02:11Z,Java,88,1,1,146,78074
FreeDomain,DigitalPlatDev,2024-05-30T13:23:00Z,2025-08-11T19:57:04Z,HTML,0,0,0,0,78073
spring-boot,spring-projects,2012-10-19T15:02:57Z,2025-08-11T18:42:47Z,Java,42,317,596,38554,78063
devops-exercises,bregman-arie,2019-10-03T17:31:21Z,2025-08-11T19:29:19Z,Python,302,0,35,64,77893
models,tensorflow,2016-02-05T01:15:20Z,2025-08-11T18:14:05Z,Python,2341,50,1076,6236,77618
awesome-for-beginners,MunGell,2015-10-24T19:53:36Z,2025-08-11T18:45:27Z,None,450,0,8,174,76484
